City,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Hollister city, California","34,928","34,805","34,973","35,304","35,731","36,184","36,665","36,960","37,576","38,377","39,750","40,740"
"Holtville city, California","5,939","5,947","5,961","6,002","6,007","6,021","6,251","6,360","6,418","6,559","6,661","6,621"
"Hughson city, California","6,640","6,649","6,664","6,714","6,849","6,988","7,177","7,319","7,398","7,467","7,538","7,565"
"Huntington Beach city, California","189,992","191,038","191,296","192,995","194,174","197,107","199,610","200,653","200,284","200,938","200,126","199,223"
"Huntington Park city, California","58,114","58,125","58,125","58,334","58,524","58,739","58,908","58,933","58,701","58,476","57,998","57,509"
"Huron city, California","6,754","6,745","6,752","6,745","6,754","6,765","6,779","6,802","6,924","7,285","7,278","7,281"
"Imperial city, California","14,758","14,733","14,836","15,190","15,556","16,111","16,680","16,943","17,089","17,432","17,671","18,120"
"Imperial Beach city, California","26,324","26,329","26,388","26,617","26,821","27,031","27,055","27,259","27,329","27,278","27,362","27,440"
"Indian Wells city, California","4,958","4,958","4,982","5,040","5,088","5,139","5,193","5,255","5,324","5,392","5,435","5,470"
"Indio city, California","76,036","79,166","79,665","81,046","82,250","83,358","85,127","86,917","88,196","89,438","90,970","91,765"
"Industry city, California",219,217,214,206,204,207,207,207,207,206,204,202
"Inglewood city, California","109,673","109,649","109,658","110,501","110,866","110,954","110,840","110,693","110,271","109,907","109,038","108,151"
"Ione city, California","7,918","7,913","7,748","7,562","7,318","6,963","6,972","6,997","7,031","7,818","8,381","8,568"
"Irvine city, California","212,375","212,107","213,450","220,303","229,063","236,057","247,136","255,382","265,345","276,000","281,732","287,401"
"Irwindale city, California","1,422","1,418","1,418","1,416","1,413","1,413","1,417","1,421","1,427","1,452","1,458","1,446"
"Isleton city, California",804,804,805,810,815,819,824,830,835,844,843,844
"Jackson city, California","4,651","4,672","4,658","4,624","4,607","4,596","4,611","4,660","4,695","4,734","4,793","4,840"
"Jurupa Valley city, California",(X),"94,986","95,590","97,195","98,350","99,469","100,080","101,460","103,240","105,760","108,314","109,527"
"Kerman city, California","13,544","13,567","13,634","13,877","14,285","14,299","14,329","14,412","14,534","14,860","14,987","15,282"
"King City city, California","12,874","12,874","12,902","13,001","13,119","13,189","13,482","13,789","13,830","13,941","13,970","14,077"
"Kingsburg city, California","11,382","11,454","11,464","11,556","11,636","11,698","11,727","11,800","11,831","12,013","12,071","12,108"
"La Cañada Flintridge city, California","20,246","20,256","20,258","20,348","20,417","20,470","20,451","20,428","20,397","20,297","20,161","20,009"
"Lafayette city, California","23,893","23,791","23,873","24,288","24,570","25,024","25,423","25,790","26,153","26,388","26,524","26,638"
"Laguna Beach city, California","22,723","22,733","22,765","22,976","23,098","23,213","23,214","23,232","23,165","23,045","22,931","22,827"
"Laguna Hills city, California","30,344","30,673","30,713","30,983","31,146","31,260","31,215","31,973","31,849","31,631","31,395","31,207"
"Laguna Niguel city, California","62,979","62,989","63,119","63,774","64,134","64,381","65,079","65,396","65,145","66,011","66,079","66,385"
"Laguna Woods city, California","16,192","15,991","16,012","16,148","16,233","16,290","16,264","16,251","16,184","16,068","15,949","15,850"
"La Habra city, California","60,239","59,016","59,108","59,658","59,970","60,224","60,421","60,473","60,292","60,898","60,778","60,513"
"La Habra Heights city, California","5,325","6,537","6,540","6,573","6,606","6,622","6,628","6,639","6,616","6,590","6,545","6,492"
"Lake Elsinore city, California","51,821","53,313","53,627","55,078","56,044","57,711","60,111","61,955","63,807","66,066","68,051","69,283"
