zip,city,population,SeptIncid,tests_2020_03,tests_2020_04,tests_2020_05,tests_2020_06,tests_2020_07,tests_2020_08,tests_2020_09,tests_2020_10,tests_2020_11,tests_2020_12,tests_2021_01,tests_2021_02,tests_2021_03,tests_2021_04,tests_2021_05,tests_2021_06,tests_2021_07,tests_2021_08,tests_2021_09,tests_2021_10,tests_2021_11,tests_2021_12,tests_2022_01,tests_2022_02,tests_2022_03,tests_2022_04,cases_2020_03,cases_2020_04,cases_2020_05,cases_2020_06,cases_2020_07,cases_2020_08,cases_2020_09,cases_2020_10,cases_2020_11,cases_2020_12,cases_2021_01,cases_2021_02,cases_2021_03,cases_2021_04,cases_2021_05,cases_2021_06,cases_2021_07,cases_2021_08,cases_2021_09,cases_2021_10,cases_2021_11,cases_2021_12,cases_2022_01,cases_2022_02,cases_2022_03,cases_2022_04
92694,Ladera Ranch,32279,13.67116296,93,216,415,1012,1608,1269,1341,1574,2422,3328,3408,2093,2450,2481,2057,2055,2198,3214,3896,3750,3486,5019,6739,2892,3044,1445,9,14,6,87,101,31,32,36,139,449,402,94,30,27,10,16,126,283,135,89,69,613,1510,182,53,54
92701,Santa Ana,55137,66.78044075,63,311,1419,2143,2844,2438,2303,3014,5084,11016,10578,4354,3335,2547,2370,1930,2494,4590,4443,3490,3575,4930,38670,30749,32687,14893,12,43,327,524,749,409,185,208,750,2929,2038,366,109,38,16,24,158,333,168,112,100,654,3892,311,58,36
92703,Santa Ana,68242,51.95202078,96,945,2611,3458,4595,4008,4554,5383,8050,19638,17704,10031,9536,8402,6500,4960,5392,7978,9900,8074,7525,10134,44998,33692,33394,15693,11,289,418,651,1034,415,292,318,1228,4900,2612,527,184,90,37,31,209,435,327,123,132,1130,5807,592,169,73
92704,Santa Ana,89021,57.30626511,118,677,1756,3667,4844,3458,3462,4366,7895,18666,17144,7157,5796,4886,4290,3255,3894,6903,7685,6320,6068,9739,58487,42309,44111,18782,17,114,299,955,1227,392,321,363,1293,4813,3365,626,208,82,46,45,227,584,350,214,206,1839,7180,622,121,74
92705,Santa Ana,47039,23.4867803,95,305,994,1770,2552,1982,2164,2823,4800,8363,7863,4070,3784,3540,2872,2685,2954,4566,4848,4196,4135,6660,15797,8605,7965,3938,11,22,62,238,398,140,101,163,490,1576,1107,218,81,59,19,20,198,403,187,109,155,932,2827,289,62,60
92706,Santa Ana,37260,27.42957457,52,245,1042,1551,2173,1865,1716,2181,3791,8482,7292,3213,2801,2378,2178,1683,1912,3606,3691,3147,2932,4987,21902,15555,15470,6722,6,34,193,322,491,234,113,157,495,1920,1422,239,84,32,16,13,129,273,141,63,93,771,2880,289,47,35
92707,Santa Ana,62175,98.33254891,86,413,1316,2497,3973,3035,3072,3797,6521,14686,13201,5400,3967,3534,3440,2576,3227,4787,5441,4339,4070,6588,46127,36366,36429,16747,6,65,249,659,939,445,318,323,986,3780,2420,492,124,64,38,32,219,398,216,105,145,1176,4933,525,74,71
92708,Fountain Valley,57354,9.820727091,121,414,1176,2101,2779,2324,2688,3315,5075,9263,9627,5404,4655,3903,3567,3087,3632,5858,5648,5783,5932,9318,15442,6173,5037,3034,18,26,44,146,276,88,40,92,432,1512,1238,328,120,65,36,37,216,462,197,171,180,1364,3712,344,105,82
92780,Tustin,57006,23.38026705,78,383,947,2147,2867,2266,2265,3078,4479,8697,9189,4460,4052,3836,2988,2386,2980,5293,5365,4835,4780,7427,14498,6381,4911,2886,3,38,84,316,501,196,145,186,454,1855,1622,289,106,70,24,24,218,405,243,155,185,1163,3553,345,68,100
92782,Tustin,28855,30.39249739,69,162,403,999,1211,1047,1193,1403,2457,4027,3996,2446,2381,2321,1936,1797,1877,3022,3133,3068,2878,5080,7680,3071,2539,1502,5,5,12,92,104,28,49,28,169,480,472,87,37,42,14,10,97,191,81,97,84,631,1547,160,42,64
92801,Anaheim,63542,50.75078946,81,473,1353,3300,4701,3708,3434,4320,6818,15279,13898,6558,5480,5183,4280,3400,4022,6597,7662,7161,7470,10257,22005,8221,6118,3411,11,76,167,528,736,341,187,231,821,3233,2351,470,155,85,34,34,262,469,284,241,199,1232,5445,482,93,76
92802,Anaheim,44506,51.51139104,50,331,884,1890,2908,2584,2429,2990,4441,10332,9864,4742,3759,3322,2885,2230,2860,4564,5148,5135,5379,7456,13812,5779,4278,2122,9,28,128,387,551,262,139,148,546,2264,1669,320,99,51,25,25,183,320,184,138,145,816,3184,354,108,54
92804,Anaheim,92468,40.73841283,180,992,2489,4759,6725,5291,5334,6580,9472,21636,19497,9337,7733,7106,6143,5007,5783,9461,10610,9684,9226,13847,27164,10088,7504,4265,21,134,310,719,965,455,299,291,973,4439,3008,648,197,79,67,60,337,618,341,298,286,1818,6638,731,193,116
